URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,COMPLEX WORD COUNT,WORD COUNT
https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0,0,0.0,0.0,24.0,0.2916666666666667,9.716666666666669,7,24
https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0,0,0.0,0.0,25.0,0.28,10.112000000000002,7,25
https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0,0,0.0,0.0,22.0,0.3181818181818182,8.927272727272728,7,22
https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0,0,0.0,0.0,25.0,0.28,10.112000000000002,7,25
https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0,0,0.0,0.0,23.0,0.30434782608695654,9.321739130434784,7,23
https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0,0,0.0,0.0,20.0,0.35,8.14,7,20
https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0,0,0.0,0.0,21.0,0.38095238095238093,8.552380952380952,8,21
https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0,0,0.0,0.0,22.0,0.3181818181818182,8.927272727272728,7,22
https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0,0,0.0,0.0,21.0,0.3333333333333333,8.533333333333333,7,21
https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0,0,0.0,0.0,21.0,0.3333333333333333,8.533333333333333,7,21
https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0,0,0.0,0.0,20.0,0.35,8.14,7,20
https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0,0,0.0,0.0,24.0,0.3333333333333333,9.733333333333334,8,24
https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,0,0,0.0,0.0,21.0,0.3333333333333333,8.533333333333333,7,21
https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,0,0,0.0,0.0,27.0,0.25925925925925924,10.903703703703705,7,27
https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,0,0,0.0,0.0,26.0,0.3076923076923077,10.523076923076923,8,26
https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,0,0,0.0,0.0,22.0,0.3181818181818182,8.927272727272728,7,22
https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,0,0,0.0,0.0,22.0,0.36363636363636365,8.945454545454545,8,22
https://insights.blackcoffer.com/evolution-of-advertising-industry/,0,0,0.0,0.0,19.0,0.3684210526315789,7.747368421052632,7,19
